Bronx Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,31 COMMERCIAL VACANT LAND,4,3041,38,,V1,4697 3 AVENUE,,10458,0,0,0,"9,541",0,2020,4,V1,1,12/11/2019
2,BATHGATE,32 HOSPITAL AND HEALTH FACILITIES,4,2923,27,,I5,4137 3 AVENUE,,10457,0,3,3,"5,515","9,350",1931,4,I5,"2,580,000",9/16/2019
2,BATHGATE,36 OUTDOOR RECREATIONAL FACILITIES,4,2923,30,,Q9,4135 3 AVENUE,,10457,0,0,0,"2,584",0,,4,Q9,"2,580,000",9/16/2019
2,BATHGATE,37 RELIGIOUS FACILITIES,4,3038,16,,M1,442 EAST 183 STREET,,10458,0,1,1,"4,500","9,000",1931,4,M1,0,4/27/2020
2,BATHGATE,40 SELECTED GOVERNMENTAL FACILITIES,4,2928,30,,Y3,1511 FULTON AVENUE,,10457,0,1,1,"8,335","55,200",1931,4,Y3,10,7/31/2020
2,BATHGATE,41 TAX CLASS 4 - OTHER,4,2928,33,,Z9,549 EAST 171 STREET,,10457,0,1,1,"10,713",440,1989,4,Z9,10,7/31/2020
2,BATHGATE,41 TAX CLASS 4 - OTHER,4,3041,42,,Z9,427 EAST 188TH STREET,,10458,0,0,0,"3,872",0,,4,Z9,"2,200,000",7/23/2020
2,BATHGATE,43 CONDO OFFICE BUILDINGS,4,3048,1001,,RB,"4439 THIRD AVENUE, COMM",COMM,10457,,1,1,,,2016,4,RB,0,11/25/2019
2,BATHGATE,43 CONDO OFFICE BUILDINGS,4,3051,1001,,RB,"4511 THIRD AVENUE, COMM",COMM,10457,,1,1,,,2017,4,RB,0,11/25/2019
2,BATHGATE,43 CONDO OFFICE BUILDINGS,4,3051,1003,,RB,"4511 THIRD AVENUE, CF-2",CF-2,10457,,1,1,,,2017,4,RB,0,11/25/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4707,23,,A5,1135 EAST 212 STREET,,10469,1,0,1,"1,935","1,760",1945,1,A5,"2,500",12/20/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4707,75,,A5,1146 E 213TH STREET,,10469,1,0,1,"1,786","1,018",1945,1,A5,"474,900",4/20/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4708,24,,A5,1145 EAST 213 STREET,,10469,1,0,1,"2,000","1,140",1945,1,A5,"365,946",7/22/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4708,27,,A5,1137 EAST 213 STREET,,10469,1,0,1,"2,233","1,637",1945,1,A5,"300,000",10/16/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4708,27,,A5,1137 EAST 213 STREET,,10469,1,0,1,"2,233","1,637",1945,1,A5,"519,000",5/29/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4708,36,,A2,1109 EAST 213,,10469,1,0,1,"2,500","2,232",1920,1,A2,0,12/30/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4708,48,,A5,1110 EAST 214TH STREET,,10469,1,0,1,"1,710","1,813",1945,1,A5,"482,000",7/7/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4709,25,,A5,1135 EAST 214TH STREET,,10469,1,0,1,"1,710","1,732",1945,1,A5,"470,000",2/12/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4709,31,,A5,1113 EAST 214 STREET,,10469,1,0,1,"1,710","1,890",1945,1,A5,"339,964",9/27/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4709,34,,A5,1107 EAST 214 STREET,,10469,1,0,1,"1,710","1,732",1945,1,A5,0,9/24/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4714,12,,A5,1140 EAST 219 STREET,,10469,1,0,1,"1,723","1,998",1950,1,A5,0,1/2/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4715,3,,A9,1454 STICKNEY PLACE,,10469,1,0,1,"1,890","1,690",1950,1,A9,"460,000",9/4/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4723,59,,A1,3480 EASTCHESTER ROAD,,10469,1,0,1,"3,843","1,216",1910,1,A1,"480,000",4/21/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4724,21,,A1,3453 KINGSLAND AVENUE,,10469,1,0,1,"2,283","1,112",1910,1,A1,"440,000",1/6/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4725,22,,A2,1483 HICKS STREET,,10469,1,0,1,"2,375","1,764",1915,1,A2,"498,200",12/6/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4730,10,,A1,1320 EAST 222 STREET,,10469,1,0,1,"1,938","1,974",1901,1,A1,"1,000",10/4/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4733,10,,A5,3349 BOUCK AVENUE,,10469,1,0,1,"1,900","1,254",1940,1,A5,"425,000",9/9/2019
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,27,,A5,3333 WILSON AVENUE,,10469,1,0,1,"1,900","1,738",1940,1,A5,"350,000",1/27/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,28,,A5,3331 WILSON AVE,,10469,1,0,1,"1,900","1,738",1940,1,A5,"506,000",4/3/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,45,,A5,3302 BOUCK AVE,,10469,1,0,1,"2,000","2,230",1950,1,A5,"470,000",6/30/2020
2,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,48,,A5,3310 BOUCK AVENUE,,10469,1,0,1,"2,300","1,681",1940,1,A5,0,4/29/2020
