Manhattan Rolling Sales File.  All Sales From  September 2019 - August 2020,,,,,,,,,,,,,,,,,,, PTS Sales as of 09/18/2020 ,
"For sales prior to the Final, Neighborhood Name and Descriptive Data reflect the Final Roll 2019/20. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,18,,C6,"252 EAST 7TH STREET, 5-6",,10009,,,,,,1928,2,C6,"1,350,000",6/16/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,376,19,,C6,"254 EAST 7TH STREET, 15/16",,10009,,,,,,1910,2,C6,"1,575,000",12/5/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,62,,C6,"249 E. 7TH STREET, 15",,10009,,,,,,2001,2,C6,"610,000",2/14/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,377,62,,C6,"249 EAST 7TH STREET, 7",,10009,,,,,,2001,2,C6,"650,000",2/14/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,379,15,,C6,"414 EAST 10TH STREET, 2C",,10009,,,,,,1930,2,C6,"305,000",9/24/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,17,,C6,"198 EAST 7TH STREET, 12",,10009,,,,,,1930,2,C6,"257,500",3/2/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,17,,C6,"198 EAST 7TH, #5",,10009,,,,,,1930,2,C6,"125,000",10/23/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,20,,C6,"204 EAST 7TH STREET, 21",,10009,,,,,,1900,2,C6,"810,000",3/6/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,21,,C6,"206 EAST 7TH STREET, 2",,10009,,,,,,1900,2,C6,"396,000",12/13/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,21,,C6,"206 EAST 7TH STREET, 5",,10009,,,,,,1900,2,C6,"375,000",3/27/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,389,26,,C6,"216 EAST 7TH ST, 7",,10009,,,,,,1925,2,C6,"730,000",11/22/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,389,54,,C6,"613 EAST 6TH STREET, 2B",,10009,,,,,,1920,2,C6,"720,000",5/15/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,14,,C6,"616 EAST 9TH STREET, 3E",,10009,,,,,,1910,2,C6,"505,000",10/8/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,20,,C6,"626 E. 9TH STREET, 2F",,10009,,,,,,1910,2,C6,"701,000",11/11/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,48,,C6,"323 EAST 8TH ST, 6C",,10009,,,,,,1910,2,C6,"362,000",11/19/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,391,57,,C6,"303 EAST 8TH STREET, 4R",,10009,,,,,,1900,2,C6,"1,450,000",7/8/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,392,9,,C6,"348 EAST 10 STREET, 4A",,10009,,,,,,1900,2,C6,"250,000",12/12/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,393,39,,C6,"393 EAST 10TH STREET, 1",,10009,,,,,,1900,2,C6,0,1/22/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,393,51,,C6,"367 EAST 10TH STREET, 13",,10009,,,,,,1900,2,C6,"1,000",3/23/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,394,52,,C6,"633 EAST 11TH STREET, 24",,10009,,,,,,1937,2,C6,"359,000",5/18/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"630 EAST 14TH STREET, 12",,10009,,,,,,1920,2,C6,"390,390",11/6/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"636 EAST 14TH STREET, 1",,10009,,,,,,1920,2,C6,"425,880",1/28/2020
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,396,20,,C6,"630 EAST 14TH STREET, 13",,10009,,,,,,1920,2,C6,"485,000",12/20/2019
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,397,25,,C6,"185 EAST 2ND, 3A",,10009,,,,,,1915,2,C6,"450,000",10/29/2019
